date	Dell
1991	890
1992	2014
1993	2873
1994	3475
1995	5296
1996	7759
1997	12327
1998	18243
1999	25265
2000	31888
2001	31168
2002	35262
2003	41327
2004	49121
2005	55788
2006	57420
2007	61133
2008	61101
2009	52902
2010	61494
2011	62071
2012	56940
