date	Dell	Gateway	Apple	Compaq
1991	890	627	6309	3271
1992	2014	1107	7086	4100
1993	2873	1732	7977	7191
1994	3475	2701	9189	12605
1995	5296	3676	11062	16675
1996	7759	5035	9833	20009
1997	12327	6294	7081	24584
1998	18243	7648	5941	31169
1999	25265	8965	6134	38525
2000	31888	9260	7983	42383
